                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9351,                  4.542,                 1.1315,                0.01105,                0.16935,                0.02202,                0.01421,                 1.6921,                 8.7897,                0.97559,              5.819e-05,              5.819e-05,              5.819e-05
                      2,                  1.805,                 2.9686,                 1.0254,                0.54656,                0.09683,                0.07393,                0.04996,                 1.6189,                 6.2334,                0.93895,             0.00010499,             0.00010499,             0.00010499
                      3,                 1.7082,                 2.3608,                0.99175,                0.58372,                0.14111,                0.11397,                0.07982,                  1.524,                 5.8809,                0.92232,             0.00014024,             0.00014024,             0.00014024
                      4,                 1.6291,                 2.0491,                0.97413,                0.48964,                0.17876,                0.14878,                0.10525,                 1.4663,                  5.764,                0.90867,             0.00012302,             0.00012302,             0.00012302
                      5,                 1.5675,                 1.8296,                0.96007,                0.46149,                0.22863,                0.18633,                0.12876,                 1.4312,                 4.9398,                0.90019,             0.00012302,             0.00012302,             0.00012302
                      6,                 1.5489,                  1.733,                0.95528,                0.51563,                0.25437,                0.21591,                0.14966,                 1.4142,                   3.78,                0.89639,              0.0001057,              0.0001057,              0.0001057
                      7,                 1.5243,                 1.6693,                 0.9489,                 0.5541,                0.26796,                0.24257,                0.16982,                 1.3869,                 4.8242,                0.88906,             8.8375e-05,             8.8375e-05,             8.8375e-05
                      8,                 1.5053,                 1.5923,                0.94273,                0.54503,                 0.2849,                0.25824,                0.18306,                 1.3567,                  3.311,                0.88586,              7.105e-05,              7.105e-05,              7.105e-05
                      9,                 1.4984,                 1.5564,                 0.9376,                0.60962,                0.28257,                0.27761,                0.19762,                 1.3516,                 2.8483,                0.88127,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     10,                  1.476,                 1.5096,                0.93806,                0.59399,                0.29321,                0.28275,                0.20313,                 1.3339,                 2.3172,                0.87995,               3.64e-05,               3.64e-05,               3.64e-05
